elapsed_s,actual.shoulder_pan.pos,actual.shoulder_lift.pos,actual.elbow_flex.pos,actual.wrist_flex.pos,actual.wrist_roll.pos,actual.gripper.pos,target.shoulder_pan.pos,target.shoulder_lift.pos,target.elbow_flex.pos,target.wrist_flex.pos,target.wrist_roll.pos,target.gripper.pos
7.8354,-1.054945054945055,-104.52747252747253,96.92307692307692,68.61538461538461,3.912087912087912,1.06171201061712,,,,,,
9.1667,-1.054945054945055,-104.52747252747253,96.92307692307692,68.61538461538461,3.912087912087912,1.06171201061712,-0.2763547897338867,-102.52747252747253,94.92307692307692,68.32806396484375,4.187619686126709,1.7964391708374023
9.2710,-0.967032967032967,-104.17582417582418,96.74725274725274,68.7032967032967,3.912087912087912,1.1944260119442602,-0.4550132751464844,-102.26373626373626,94.74725274725274,68.63678741455078,4.151905536651611,2.024984359741211
9.3693,-0.967032967032967,-103.73626373626374,96.74725274725274,68.7032967032967,3.912087912087912,1.3271400132714002,0.4463186264038087,-102.03612518310547,94.74725274725274,68.54800415039062,4.30162239074707,2.0491857528686523
9.4671,-0.17582417582417584,-103.64835164835165,96.74725274725274,68.7032967032967,3.912087912087912,1.3271400132714002,1.7362637362637363,-101.56043956043956,94.74725274725274,68.44477081298828,3.850182294845581,1.4678363800048828
9.5672,0.8791208791208791,-103.20879120879121,96.74725274725274,68.7032967032967,3.912087912087912,1.3271400132714002,2.3999643325805664,-101.20879120879121,94.74725274725274,68.05445861816406,2.660982370376587,0.6184768676757812
9.6675,1.8461538461538463,-102.5934065934066,96.74725274725274,68.7032967032967,3.2967032967032965,1.3271400132714002,3.8461538461538463,-100.5934065934066,94.74725274725274,69.84712219238281,1.486586570739746,0.7361278533935547
9.7752,3.1648351648351647,-102.06593406593407,96.74725274725274,69.93406593406593,2.241758241758242,1.3271400132714002,5.164835164835164,-100.15384615384616,94.74725274725274,71.93406593406593,1.663914680480957,0.6052608489990234
9.8749,4.483516483516484,-101.8021978021978,96.74725274725274,71.6043956043956,2.1538461538461537,1.3271400132714002,6.395604395604396,-99.8021978021978,94.74725274725274,73.51648351648352,4.153846153846153,2.696199417114258
9.9748,5.714285714285714,-101.62637362637362,96.74725274725274,71.95604395604396,3.032967032967033,1.9907100199071004,7.714285714285714,-99.62637362637362,94.74725274725274,72.6659164428711,5.032967032967033,6.92435301924353
10.0750,7.032967032967033,-101.62637362637362,96.74725274725274,71.95604395604396,4.263736263736264,5.04313205043132,9.032967032967033,-99.62637362637362,94.74725274725274,73.0542221069336,6.263736263736264,9.976775049767749
10.1730,8.351648351648352,-101.62637362637362,96.74725274725274,71.95604395604396,5.4945054945054945,8.427339084273392,9.912087912087912,-99.62637362637362,94.74725274725274,72.66344451904297,7.142857142857143,12.232913072329131
11.4893,9.31868131868132,-101.62637362637362,96.74725274725274,71.95604395604396,6.461538461538462,11.678832116788321,9.003669738769531,-99.81629180908203,94.74725274725274,71.68421936035156,5.7285637855529785,6.678832116788321
11.5598,9.31868131868132,-101.62637362637362,96.74725274725274,71.78021978021978,6.373626373626373,11.479761114797611,8.909639358520508,-100.58102416992188,94.74725274725274,72.031005859375,5.6981425285339355,6.54611811546118
11.6600,9.142857142857142,-101.62637362637362,96.74725274725274,71.6923076923077,6.1098901098901095,7.89648307896483,8.852255821228027,-101.005126953125,94.74725274725274,71.6302719116211,6.023754596710205,3.509554862976074
11.7605,9.142857142857142,-101.89010989010988,96.74725274725274,71.6923076923077,6.021978021978022,5.109489051094891,10.052852630615234,-103.89010989010988,94.74725274725274,71.32217407226562,5.3424601554870605,3.374453544616699
11.8608,9.142857142857142,-102.41758241758242,96.74725274725274,71.86813186813187,5.846153846153846,4.37956204379562,7.988173484802246,-100.41758241758242,94.74725274725274,69.86813186813187,4.961525917053223,4.642642974853516
11.9610,8.615384615384615,-101.8021978021978,96.74725274725274,70.81318681318682,5.582417582417582,4.445919044459191,8.333404541015625,-99.8021978021978,94.74725274725274,69.08719635009766,4.561515808105469,5.833600997924805
12.0609,8.615384615384615,-101.53846153846153,96.74725274725274,70.28571428571429,4.967032967032967,4.777704047777041,10.615384615384615,-99.53846153846153,94.74725274725274,70.19507598876953,3.3449690341949463,3.8928823471069336
12.1613,9.934065934065934,-101.27472527472527,96.74725274725274,70.37362637362638,4.263736263736264,4.71134704711347,11.934065934065934,-99.27472527472527,94.74725274725274,71.5680923461914,5.6483025550842285,5.525129318237305
12.2617,11.164835164835164,-100.74725274725274,96.74725274725274,70.98901098901099,5.230769230769231,5.04313205043132,13.164835164835164,-98.74725274725274,94.74725274725274,70.81503295898438,7.142857142857143,8.102348327636719
12.3619,12.395604395604396,-100.48351648351648,96.74725274725274,70.98901098901099,6.285714285714286,6.967485069674851,14.395604395604396,-98.48351648351648,94.74725274725274,71.10104370117188,8.285714285714285,10.501363754272461
12.4600,13.626373626373626,-100.48351648351648,96.74725274725274,70.81318681318682,7.516483516483516,9.555408095554082,15.186813186813186,-98.48351648351648,94.74725274725274,70.65515899658203,9.076923076923077,13.427339084273392
13.7783,14.417582417582418,-100.48351648351648,96.74725274725274,70.72527472527473,8.659340659340659,12.93961512939615,13.164765357971191,-100.46099090576172,94.74725274725274,70.6214370727539,7.337592124938965,7.9396151293961506
13.8528,14.241758241758241,-100.65934065934066,96.74725274725274,70.72527472527473,8.571428571428571,12.607830126078301,12.960431098937988,-101.03870391845703,94.74725274725274,70.89643096923828,7.370980262756348,7.67418712674187
13.9531,13.45054945054945,-100.74725274725274,96.74725274725274,70.81318681318682,7.956043956043956,8.95819508958195,12.983524322509766,-100.97218322753906,94.74725274725274,70.60997772216797,7.732998847961426,4.024552090245521
14.0534,13.362637362637363,-101.01098901098901,96.74725274725274,70.9010989010989,7.78021978021978,5.706702057067021,14.074361801147461,-103.01098901098901,94.74725274725274,70.5211181640625,7.085860729217529,3.333436965942383
14.1536,13.362637362637363,-101.89010989010988,96.74725274725274,70.98901098901099,7.428571428571429,4.57863304578633,11.86287784576416,-103.77933502197266,94.74725274725274,68.98901098901099,6.324320316314697,4.812694549560547
